timestamp,purity,quantityTonnes,distanceKm,demandIndex,supplyIndex,auctionAveragePrice,intendedUse,pricePerTonne,provenance
2025-01-01 02:00:00,67.34,800,128.6,25.0,48.3,2469.45,SYNFUEL,2179.47,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-01 23:00:00,91.17,100,47.7,27.1,24.7,2546.57,SYNFUEL,2719.84,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-02 16:00:00,72.33,100,284.8,94.9,45.4,2542.54,FOOD_BEVERAGE,2614.29,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-03 09:00:00,96.34,150,332.2,44.5,57.9,2399.46,CONSTRUCTION,2901.13,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-04 00:00:00,72.16,100,34.6,76.1,32.1,2389.32,SYNFUEL,2471.64,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-04 18:00:00,71.66,50,334.7,80.5,69.4,2263.97,CONSTRUCTION,2451.0,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-05 12:00:00,66.28,150,187.7,84.4,94.8,2420.08,CHEMICAL_FEEDSTOCK,2336.91,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-06 11:00:00,81.48,50,111.9,94.8,53.9,2259.7,CHEMICAL_FEEDSTOCK,2484.99,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-07 03:00:00,84.71,150,36.1,38.1,46.6,2659.96,FOOD_BEVERAGE,2547.63,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-07 22:00:00,67.29,200,180.2,23.0,50.1,2779.76,FOOD_BEVERAGE,2315.19,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-08 12:00:00,92.07,50,280.1,50.8,28.6,2782.04,CHEMICAL_FEEDSTOCK,2932.97,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-09 11:00:00,80.82,25,250.4,29.8,86.2,2719.04,GREENHOUSE,2475.74,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-10 04:00:00,83.3,200,27.1,21.7,51.1,2560.48,CHEMICAL_FEEDSTOCK,2385.48,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-10 19:00:00,80.38,100,34.8,47.0,49.0,2620.52,FOOD_BEVERAGE,2397.67,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-11 13:00:00,78.99,25,147.0,78.8,69.5,2371.12,CONSTRUCTION,2395.6,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-12 07:00:00,84.53,800,110.4,62.5,53.2,2578.46,GREENHOUSE,2358.39,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-13 01:00:00,70.42,25,89.0,43.5,68.6,2473.39,GREENHOUSE,2338.33,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-13 21:00:00,71.35,200,105.5,69.1,24.6,2489.21,SYNFUEL,2423.41,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-14 14:00:00,95.08,800,283.2,37.4,81.0,2654.67,GREENHOUSE,2652.87,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-15 07:00:00,98.02,50,325.9,21.1,90.5,2369.15,FOOD_BEVERAGE,2995.7,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-16 03:00:00,78.03,50,147.7,77.3,68.7,2390.82,FOOD_BEVERAGE,2465.08,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-16 18:00:00,74.45,50,318.1,66.8,91.6,2754.79,SYNFUEL,2534.9,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-17 13:00:00,87.48,100,119.3,77.2,31.4,2233.73,FOOD_BEVERAGE,2738.81,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-18 08:00:00,79.26,50,172.0,22.9,55.8,2491.38,GREENHOUSE,2357.07,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-19 02:00:00,65.89,200,86.8,82.8,65.1,2747.68,CHEMICAL_FEEDSTOCK,2314.69,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-19 22:00:00,70.45,25,227.8,66.5,63.6,2566.22,OTHER,2424.66,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-20 13:00:00,89.99,150,342.9,62.3,50.1,2527.84,SYNFUEL,2786.83,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-21 09:00:00,88.0,800,215.2,66.8,45.4,2349.85,SYNFUEL,2595.22,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-22 03:00:00,65.95,300,131.7,84.8,29.5,2405.97,CONSTRUCTION,2298.6,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-22 18:00:00,72.75,150,230.3,64.0,49.4,2711.23,CONSTRUCTION,2531.57,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-23 15:00:00,73.06,100,51.8,63.6,32.2,2535.53,CONSTRUCTION,2413.63,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-24 07:00:00,88.45,150,312.1,94.3,75.1,2508.85,SYNFUEL,2844.17,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-25 00:00:00,65.69,150,181.0,76.8,35.7,2259.75,OTHER,2409.73,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-25 23:00:00,68.63,100,162.8,53.2,24.4,2209.62,SYNFUEL,2500.52,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-26 17:00:00,92.92,50,209.2,73.1,61.4,2778.21,SYNFUEL,2851.49,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-27 10:00:00,71.23,300,222.4,49.2,64.6,2426.19,SYNFUEL,2404.71,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-28 01:00:00,87.78,100,34.4,37.2,85.4,2561.93,CONSTRUCTION,2511.33,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-28 18:00:00,73.31,50,242.1,64.8,63.3,2247.83,GREENHOUSE,2430.68,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-29 16:00:00,68.47,100,92.3,89.6,45.9,2609.87,CONSTRUCTION,2442.19,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-30 08:00:00,73.49,100,252.7,89.7,80.2,2759.54,FOOD_BEVERAGE,2530.95,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-31 00:00:00,90.21,300,289.7,45.6,60.5,2545.4,SYNFUEL,2695.82,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-01-31 20:00:00,94.86,200,283.3,59.6,25.9,2275.67,CONSTRUCTION,2826.53,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-01 12:00:00,93.97,200,197.9,35.9,62.4,2549.03,CONSTRUCTION,2647.74,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-02 11:00:00,78.86,25,186.9,94.7,88.1,2659.81,CONSTRUCTION,2450.36,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-03 01:00:00,88.32,100,58.6,93.6,49.7,2443.85,SYNFUEL,2731.42,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-03 21:00:00,72.15,100,273.6,68.7,42.2,2727.9,CONSTRUCTION,2565.42,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-04 13:00:00,75.23,25,102.3,80.3,30.8,2589.21,CONSTRUCTION,2455.37,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-05 09:00:00,96.28,100,178.9,73.6,31.4,2739.55,FOOD_BEVERAGE,3033.4,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-06 03:00:00,65.45,200,106.7,64.5,52.5,2574.1,CONSTRUCTION,2203.83,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-06 19:00:00,67.98,50,55.5,24.0,64.7,2278.77,SYNFUEL,2327.71,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-07 17:00:00,72.26,150,224.0,54.1,26.0,2385.82,CONSTRUCTION,2481.05,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-08 10:00:00,65.93,50,28.5,70.6,90.5,2321.08,SYNFUEL,2325.58,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-09 05:00:00,71.33,25,264.5,70.8,76.6,2745.3,GREENHOUSE,2489.78,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-09 23:00:00,85.35,50,118.0,48.0,64.0,2656.24,CONSTRUCTION,2519.87,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-10 15:00:00,79.71,800,10.0,90.6,82.1,2605.84,SYNFUEL,2236.19,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-11 11:00:00,96.15,300,183.8,32.6,26.0,2380.58,OTHER,2844.8,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-12 00:00:00,93.53,800,25.9,57.5,55.8,2310.43,CONSTRUCTION,2519.41,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-12 19:00:00,76.93,100,103.9,71.8,67.3,2653.87,SYNFUEL,2437.04,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-13 12:00:00,74.05,50,250.4,72.3,82.1,2484.49,CONSTRUCTION,2454.52,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-14 07:00:00,78.25,150,31.3,68.6,78.8,2335.47,CHEMICAL_FEEDSTOCK,2359.59,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-15 02:00:00,85.6,100,295.4,40.6,40.8,2569.97,FOOD_BEVERAGE,2674.12,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-15 19:00:00,74.36,300,11.3,31.7,90.6,2224.2,FOOD_BEVERAGE,2255.7,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-16 16:00:00,86.78,25,93.9,67.7,29.3,2395.7,OTHER,2681.8,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-17 08:00:00,79.29,100,261.9,64.9,85.6,2481.13,CONSTRUCTION,2441.82,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-18 01:00:00,84.27,50,117.5,33.5,92.8,2288.78,CONSTRUCTION,2423.97,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-18 21:00:00,80.22,100,44.6,72.9,33.3,2790.79,FOOD_BEVERAGE,2499.09,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-19 12:00:00,75.28,200,132.5,54.1,74.2,2325.46,SYNFUEL,2340.25,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-20 10:00:00,98.1,100,101.9,70.1,23.0,2278.21,CONSTRUCTION,2943.8,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-21 00:00:00,91.65,100,296.5,82.8,50.4,2322.12,CONSTRUCTION,2842.15,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-21 23:00:00,69.89,100,116.5,32.7,58.7,2661.44,SYNFUEL,2406.45,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-22 16:00:00,95.31,100,278.2,21.4,63.5,2455.3,CHEMICAL_FEEDSTOCK,2872.33,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-23 07:00:00,82.01,200,313.2,78.4,90.2,2539.25,GREENHOUSE,2436.9,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-24 00:00:00,96.22,300,157.5,65.7,70.4,2212.61,GREENHOUSE,2762.87,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-24 22:00:00,92.91,800,319.4,72.5,56.1,2220.66,SYNFUEL,2751.87,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-25 16:00:00,79.84,200,138.3,82.9,80.7,2467.5,SYNFUEL,2375.31,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-26 10:00:00,65.78,100,337.8,80.2,91.3,2689.99,CHEMICAL_FEEDSTOCK,2407.45,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-27 04:00:00,74.38,200,40.4,92.1,21.7,2731.14,GREENHOUSE,2385.52,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-27 18:00:00,83.9,100,243.6,60.2,93.7,2252.02,SYNFUEL,2526.36,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
2025-02-28 14:00:00,87.11,100,177.9,56.6,26.5,2523.02,FOOD_BEVERAGE,2741.26,SYNTHETIC TRAINING DATA — NOT REAL MARKET DATA
